SETTING_TYPE,WEEK_ENDING_DATE,OUTBREAKS_NUMBER,DCS_LAST_MOD_DTTM,OBJECTID
CHILDCARE/DAYCARE,2020/07/31 04:00:00+00,2,2021/10/18 16:10:01+00,1
CHILDCARE/DAYCARE,2020/08/14 04:00:00+00,1,2021/10/18 16:10:01+00,2
CHILDCARE/DAYCARE,2020/08/21 04:00:00+00,2,2021/10/18 16:10:01+00,3
CHILDCARE/DAYCARE,2020/08/28 04:00:00+00,1,2021/10/18 16:10:01+00,4
CHILDCARE/DAYCARE,2020/09/25 04:00:00+00,1,2021/10/18 16:10:01+00,5
CHILDCARE/DAYCARE,2020/10/02 04:00:00+00,1,2021/10/18 16:10:01+00,6
CHILDCARE/DAYCARE,2020/10/30 04:00:00+00,1,2021/10/18 16:10:01+00,7
CHILDCARE/DAYCARE,2020/11/06 05:00:00+00,2,2021/10/18 16:10:01+00,8
CHILDCARE/DAYCARE,2020/11/13 05:00:00+00,1,2021/10/18 16:10:01+00,9
CHILDCARE/DAYCARE,2020/11/20 05:00:00+00,2,2021/10/18 16:10:01+00,10
CHILDCARE/DAYCARE,2020/11/27 05:00:00+00,2,2021/10/18 16:10:01+00,11
CHILDCARE/DAYCARE,2020/12/04 05:00:00+00,5,2021/10/18 16:10:01+00,12
CHILDCARE/DAYCARE,2020/12/11 05:00:00+00,3,2021/10/18 16:10:01+00,13
CHILDCARE/DAYCARE,2021/01/01 05:00:00+00,1,2021/10/18 16:10:01+00,14
CHILDCARE/DAYCARE,2021/01/08 05:00:00+00,5,2021/10/18 16:10:01+00,15
CHILDCARE/DAYCARE,2021/01/15 05:00:00+00,1,2021/10/18 16:10:01+00,16
CHILDCARE/DAYCARE,2021/02/12 05:00:00+00,1,2021/10/18 16:10:01+00,17
CHILDCARE/DAYCARE,2021/02/26 05:00:00+00,4,2021/10/18 16:10:01+00,18
CHILDCARE/DAYCARE,2021/03/19 04:00:00+00,3,2021/10/18 16:10:01+00,19
CHILDCARE/DAYCARE,2021/03/26 04:00:00+00,3,2021/10/18 16:10:01+00,20
CHILDCARE/DAYCARE,2021/04/02 04:00:00+00,1,2021/10/18 16:10:01+00,21
CHILDCARE/DAYCARE,2021/04/23 04:00:00+00,1,2021/10/18 16:10:01+00,22
CHILDCARE/DAYCARE,2021/05/21 04:00:00+00,1,2021/10/18 16:10:01+00,23
CHILDCARE/DAYCARE,2021/06/18 04:00:00+00,1,2021/10/18 16:10:01+00,24
CHILDCARE/DAYCARE,2021/07/09 04:00:00+00,1,2021/10/18 16:10:01+00,25
CHILDCARE/DAYCARE,2021/07/23 04:00:00+00,1,2021/10/18 16:10:01+00,26
CHILDCARE/DAYCARE,2021/08/13 04:00:00+00,3,2021/10/18 16:10:01+00,27
CHILDCARE/DAYCARE,2021/08/20 04:00:00+00,3,2021/10/18 16:10:01+00,28
CHILDCARE/DAYCARE,2021/08/27 04:00:00+00,1,2021/10/18 16:10:01+00,29
CHILDCARE/DAYCARE,2021/09/03 04:00:00+00,4,2021/10/18 16:10:01+00,30
CHILDCARE/DAYCARE,2021/09/10 04:00:00+00,3,2021/10/18 16:10:01+00,31
CHILDCARE/DAYCARE,2021/09/17 04:00:00+00,3,2021/10/18 16:10:01+00,32
CHILDCARE/DAYCARE,2021/09/24 04:00:00+00,2,2021/10/18 16:10:01+00,33
CLEANING/MAINTENANCE SERVICE,2021/07/16 04:00:00+00,1,2021/10/18 16:10:01+00,34
CONGREGATE RESIDENTIAL SETTING,2020/08/21 04:00:00+00,1,2021/10/18 16:10:01+00,35
CONGREGATE RESIDENTIAL SETTING,2020/09/11 04:00:00+00,2,2021/10/18 16:10:01+00,36
CONGREGATE RESIDENTIAL SETTING,2020/10/30 04:00:00+00,1,2021/10/18 16:10:01+00,37
CONGREGATE RESIDENTIAL SETTING,2020/11/06 05:00:00+00,1,2021/10/18 16:10:01+00,38
CONGREGATE RESIDENTIAL SETTING,2020/11/20 05:00:00+00,2,2021/10/18 16:10:01+00,39
CONGREGATE RESIDENTIAL SETTING,2020/12/04 05:00:00+00,1,2021/10/18 16:10:01+00,40
CONGREGATE RESIDENTIAL SETTING,2020/12/11 05:00:00+00,1,2021/10/18 16:10:01+00,41
CONGREGATE RESIDENTIAL SETTING,2020/12/18 05:00:00+00,1,2021/10/18 16:10:01+00,42
