Series ID,Year,Period,Label,Value
LASST110000000000004,2019,M01,2019 Jan,24028
LASST110000000000004,2019,M02,2019 Feb,23902
LASST110000000000004,2019,M03,2019 Mar,23519
LASST110000000000004,2019,M04,2019 Apr,22974
LASST110000000000004,2019,M05,2019 May,22428
LASST110000000000004,2019,M06,2019 Jun,22022
LASST110000000000004,2019,M07,2019 Jul,21806
LASST110000000000004,2019,M08,2019 Aug,21648
LASST110000000000004,2019,M09,2019 Sep,21356
LASST110000000000004,2019,M10,2019 Oct,20951
LASST110000000000004,2019,M11,2019 Nov,20559
LASST110000000000004,2019,M12,2019 Dec,20384
LASST110000000000004,2020,M01,2020 Jan,20533
LASST110000000000004,2020,M02,2020 Feb,21011
LASST110000000000004,2020,M03,2020 Mar,21686
LASST110000000000004,2020,M04,2020 Apr,45122
LASST110000000000004,2020,M05,2020 May,35508
LASST110000000000004,2020,M06,2020 Jun,35723
LASST110000000000004,2020,M07,2020 Jul,35687
LASST110000000000004,2020,M08,2020 Aug,35594
LASST110000000000004,2020,M09,2020 Sep,35646
LASST110000000000004,2020,M10,2020 Oct,35844
LASST110000000000004,2020,M11,2020 Nov,35985
LASST110000000000004,2020,M12,2020 Dec,36038
LASST110000000000004,2021,M01,2021 Jan,34354
LASST110000000000004,2021,M02,2021 Feb,33230
LASST110000000000004,2021,M03,2021 Mar,31516
LASST110000000000004,2021,M04,2021 Apr,30556
LASST110000000000004,2021,M05,2021 May,29230
LASST110000000000004,2021,M06,2021 Jun,28465
LASST110000000000004,2021,M07,2021 Jul,27398
LASST110000000000004,2021,M08,2021 Aug,27585
LASST110000000000004,2021,M09,2021 Sep,26711
